pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,locality,country,coordinate_resolution,decimalLatitude,decimalLongitude,taxonRank,family,scientificName,identificationRemarks,occurrenceRemarks,number_negative,organismQuantity,number_inconclusive,note
3189,2125,13,Myodes,Myodes rutilus,Heilongjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,21,21,NA,NA,NA
3190,2126,13,Myodes,Myodes rufocanus,Heilongjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,23,23,NA,NA,NA
3191,2144,13,Tamias,Tamias sibiricus,Heilongjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,10,10,NA,NA,NA
3192,2151,13,Ochotona,Ochotona hyperborea,Heilongjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,49,49,NA,NA,NA
3193,2163,13,Mus,Mus musculus,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,2,2,NA,NA,NA
3194,2169,13,Apodemus,Apodemus syhaticus,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,27,27,NA,NA,NA
3195,2172,13,Apodemus,Apodemus agrarius,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,8,8,NA,NA,NA
3196,2175,13,Meriones,Meriones meridianus,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,12,12,NA,NA,NA
3197,2177,13,Meriones,Meriones libycus,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,13,13,NA,NA,NA
3198,2178,13,Rhombomys,Rhombomys opimus,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,16,16,NA,NA,NA
3199,2189,13,Microtus,Microtus gregalis,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,44,44,NA,NA,NA
3200,2196,13,Cricetulus,Cricetulus migratorius,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,15,15,NA,NA,NA
3201,2200,13,Dipus,Dipus sagitta,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,6,6,NA,NA,NA
3202,2202,13,Allactaga,Allactaga sibirica,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,5,5,NA,NA,NA
3203,2203,13,Sicista,Sicista concolor,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,2,2,NA,NA,NA
3204,2205,13,Dryomys,Dryomys nitedula,Xinjiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,22,22,NA,NA,NA
3205,2214,13,Rattus,Rattus nitidus,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,16,16,NA,NA,NA
3206,2217,13,Mus,Mus pahari,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,7,7,NA,NA,NA
3207,2218,13,Mus,Mus musculus,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,3,3,NA,NA,NA
3208,2221,13,Niviventer,Niviventer confucianus,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,9,9,NA,NA,NA
3209,2227,13,Apodemus,Apodemus agrarius,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,14,14,NA,NA,NA
3210,2229,13,Apodemus,Apodemus chevrieri,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,40,40,NA,NA,NA
3211,2239,13,Eothenomys,Eothenomys melanogaster,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,39,39,NA,NA,NA
3212,2259,13,Chinchilla,Chinchilla lanigera,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,40,40,NA,NA,NA
3213,2265,13,Suncus,Suncus murinus,Guizhou,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,64,64,NA,NA,NA
3214,2266,13,Rattus,Rattus norvegicus,Guangxi,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,41,41,NA,NA,NA
3215,2267,13,Rattus,Rattus tanezumi,Guangxi,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,4,4,NA,NA,NA
3216,2272,13,Mus,Mus pahari,Guangxi,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,7,7,NA,NA,NA
3217,2278,13,Niviventer,Niviventer eha,Guangxi,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,3,3,NA,NA,NA
3218,2318,13,Crocidura,Crocidura dracula,Guangxi,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,11,11,NA,NA,NA
3219,2321,13,Rattus,Rattus norvegicus,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,48,48,NA,NA,NA
3220,2322,13,Rattus,Rattus tanezumi,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,21,21,NA,NA,NA
3221,2325,13,Rattus,Rattus losea,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,7,7,NA,NA,NA
3222,2328,13,Mus,Mus musculus,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,3,3,NA,NA,NA
3223,2330,13,Niviventer,Niviventer coninga,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,1,1,NA,NA,NA
3224,2331,13,Niviventer,Niviventer confucianus,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,9,9,NA,NA,NA
3225,2337,13,Apodemus,Apodemus agrarius,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,10,10,NA,NA,NA
3226,2375,13,Suncus,Suncus murinus,Zhejiang,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,71,71,NA,NA,NA
3227,2383,13,Mus,Mus musculus,Shandong,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,5,5,NA,NA,NA
3228,2392,13,Apodemus,Apodemus agrarius,Shandong,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,127,122,5,NA,NA
3229,2412,13,Tscherskia,Tscherskia triton,Shandong,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,7,7,NA,NA,NA
3230,2413,13,Cricetulus,Cricetulus barabensis,Shandong,China,state,NA,NA,species,Hantaviridae,RtAa-HV/SD2016,PCR,4,4,NA,NA,NA
3231,1331,13,Rattus,Rattus norvegicus,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,48,48,NA,NA,NA
3232,1332,13,Rattus,Rattus tanezumi,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,96,96,NA,NA,NA
3233,1333,13,Rattus,Rattus andamanensis,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,26,26,NA,NA,NA
3234,1336,13,Mus,Mus caroli,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,29,26,3,NA,NA
3235,1337,13,Mus,Mus pahari,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,18,18,NA,NA,NA
3236,1343,13,Niviventer,Niviventer eha,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,20,20,NA,NA,NA
3237,1344,13,Apodemus,Apodemus syhaticus,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,38,38,NA,NA,NA
3238,1358,13,Eothenomys,Eothenomys custos,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,29,29,NA,NA,NA
3239,1383,13,Crocidura,Crocidura dracula,Yunnan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,45,45,NA,NA,NA
3240,1405,13,Meriones,Meriones meridianus,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,80,80,NA,NA,NA
3241,1406,13,Meriones,Meriones unguiculatus,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,35,35,NA,NA,NA
3242,1420,13,Allocricetulus,Allocricetulus curtatus,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,6,6,NA,NA,NA
3243,1423,13,Cricetulus,Cricetulus barabensis,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,15,15,NA,NA,NA
3244,1428,13,Citellus,Citellus erthrogenys,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,12,12,NA,NA,NA
3245,1430,13,Dipus,Dipus sagitta,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,26,26,NA,NA,NA
3246,1431,13,Euchoreutes,Euchoreutes naso,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,5,5,NA,NA,NA
3247,1432,13,Allactaga,Allactaga sibirica,Inner Mongolia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,28,28,NA,NA,NA
3248,1448,13,Mus,Mus musculus,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,12,12,NA,NA,NA
3249,1456,13,Apodemus,Apodemus peninsulae,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,1,1,NA,NA,NA
3250,1466,13,Myodes,Myodes rufocanus,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,1,1,NA,NA,NA
3251,1477,13,Tscherskia,Tscherskia triton,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,12,12,NA,NA,NA
3252,1478,13,Cricetulus,Cricetulus barabensis,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,60,60,NA,NA,NA
3253,1482,13,Spermophilus,Spermophilus dauricus,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,23,23,NA,NA,NA
3254,1487,13,Allactaga,Allactaga sibirica,Hebei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,1,1,NA,NA,NA
3255,1504,13,Niviventer,Niviventer excelsior,Sichuan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,42,42,NA,NA,NA
3256,1510,13,Apodemus,Apodemus latronum,Sichuan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,13,13,NA,NA,NA
3257,1523,13,Eothenomys,Eothenomys custos,Sichuan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3258,1566,13,Apodemus,Apodemus peninsulae,Jilin,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,22,22,NA,NA,NA
3259,1567,13,Apodemus,Apodemus agrarius,Jilin,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,2,2,NA,NA,NA
3260,1575,13,Myodes,Myodes rutilus,Jilin,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,14,14,NA,NA,NA
3261,1576,13,Myodes,Myodes rufocanus,Jilin,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,48,48,NA,NA,NA
3262,1587,13,Tscherskia,Tscherskia triton,Jilin,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,22,22,NA,NA,NA
3263,1594,13,Tamias,Tamias sibiricus,Jilin,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,2,2,NA,NA,NA
3264,1609,13,Rattus,Rattus nitidus,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,12,12,NA,NA,NA
3265,1616,13,Niviventer,Niviventer confucianus,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,30,30,NA,NA,NA
3266,1618,13,Niviventer,Niviventer eha,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,33,33,NA,NA,NA
3267,1621,13,Apodemus,Apodemus peninsulae,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,21,21,NA,NA,NA
3268,1636,13,Phaiomys,Phaiomys leucurus,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,15,15,NA,NA,NA
3269,1637,13,Microtus,Microtus clarkei,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,17,17,NA,NA,NA
3270,1644,13,Cricetulus,Cricetulus kamensis,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,2,2,NA,NA,NA
3271,1645,13,Cricetulus,Cricetulus longicaudatus,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,11,11,NA,NA,NA
3272,1657,13,Ochotona,Ochotona curzoniae,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,30,30,NA,NA,NA
3273,1659,13,Sorex,Sorex araneus,Tibet,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,50,50,NA,NA,NA
3274,1668,13,Mus,Mus musculus,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,12,12,NA,NA,NA
3275,1671,13,Niviventer,Niviventer confucianus,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,27,27,NA,NA,NA
3276,1676,13,Apodemus,Apodemus peninsulae,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,13,13,NA,NA,NA
3277,1677,13,Apodemus,Apodemus agrarius,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,93,93,NA,NA,NA
3278,1678,13,Apodemus,Apodemus draco,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3279,1690,13,Eothenomys,Eothenomys inez,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,23,23,NA,NA,NA
3280,1697,13,Tscherskia,Tscherskia triton,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3281,1698,13,Cricetulus,Cricetulus barabensis,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,13,13,NA,NA,NA
3282,1700,13,Cricetulus,Cricetulus longicaudatus,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3283,1714,13,Sorex,Sorex araneus,Shanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,11,11,NA,NA,NA
3284,1718,13,Rattus,Rattus andamanensis,Hubei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,11,11,NA,NA,NA
3285,1725,13,Niviventer,Niviventer coninga,Hubei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,51,51,NA,NA,NA
3286,1731,13,Apodemus,Apodemus peninsulae,Hubei,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3287,1771,13,Rattus,Rattus norvegicus,Hainan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3288,1772,13,Rattus,Rattus tanezumi,Hainan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3289,1773,13,Rattus,Rattus andamanensis,Hainan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,40,40,NA,NA,NA
3290,1775,13,Rattus,Rattus losea,Hainan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,33,33,NA,NA,NA
3291,1782,13,Niviventer,Niviventer fulvescens,Hainan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,67,67,NA,NA,NA
3292,1826,13,Rattus,Rattus norvegicus,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,5,5,NA,NA,NA
3293,1827,13,Rattus,Rattus tanezumi,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,2,2,NA,NA,NA
3294,1829,13,Rattus,Rattus nitidus,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,10,10,NA,NA,NA
3295,1830,13,Rattus,Rattus losea,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3296,1833,13,Mus,Mus musculus,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,11,11,NA,NA,NA
3297,1836,13,Niviventer,Niviventer confucianus,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,19,19,NA,NA,NA
3298,1842,13,Apodemus,Apodemus agrarius,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,96,96,NA,NA,NA
3299,1854,13,Eothenomys,Eothenomys melanogaster,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3300,1858,13,Microtus,Microtus fortis,Hunan,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,7,7,NA,NA,NA
3301,1881,13,Rattus,Rattus norvegicus,Guangdong,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,17,17,NA,NA,NA
3302,1885,13,Rattus,Rattus losea,Guangdong,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,28,28,NA,NA,NA
3303,1888,13,Mus,Mus musculus,Guangdong,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,23,23,NA,NA,NA
3304,1943,13,Mus,Mus musculus,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,1,1,NA,NA,NA
3305,1946,13,Niviventer,Niviventer confucianus,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,5,5,NA,NA,NA
3306,1951,13,Apodemus,Apodemus peninsulae,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,19,19,NA,NA,NA
3307,1952,13,Apodemus,Apodemus agrarius,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,27,27,NA,NA,NA
3308,1962,13,Caryomys,Caryomys eva,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,22,22,NA,NA,NA
3309,1968,13,Microtus,Microtus fortis,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,5,5,NA,NA,NA
3310,1975,13,Cricetulus,Cricetulus longicaudatus,Ningxia,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,6,6,NA,NA,NA
3311,1995,13,Rattus,Rattus losea,Fujian,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,57,57,NA,NA,NA
3312,2002,13,Niviventer,Niviventer fulvescens,Fujian,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,29,29,NA,NA,NA
3313,2014,13,Bandicota,Bandicota indica,Fujian,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,36,36,NA,NA,NA
3314,2023,13,Microtus,Microtus fortis,Fujian,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,19,19,NA,NA,NA
3315,2056,13,Niviventer,Niviventer confucianus,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,50,50,NA,NA,NA
3316,2061,13,Apodemus,Apodemus peninsulae,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,16,16,NA,NA,NA
3317,2063,13,Apodemus,Apodemus draco,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,47,47,NA,NA,NA
3318,2064,13,Apodemus,Apodemus chevrieri,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,49,49,NA,NA,NA
3319,2074,13,Eothenomys,Eothenomys melanogaster,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,10,10,NA,NA,NA
3320,2081,13,Cansumys,Cansumys canus,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,4,4,NA,NA,NA
3321,2094,13,Chinchilla,Chinchilla lanigera,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,10,10,NA,NA,NA
3322,2099,13,Sorex,Sorex araneus,Shaanxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,36,36,NA,NA,NA
3323,2125,13,Myodes,Myodes rutilus,Heilongjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,21,21,NA,NA,NA
3324,2126,13,Myodes,Myodes rufocanus,Heilongjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,23,23,NA,NA,NA
3325,2144,13,Tamias,Tamias sibiricus,Heilongjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,10,10,NA,NA,NA
3326,2151,13,Ochotona,Ochotona hyperborea,Heilongjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,49,49,NA,NA,NA
3327,2163,13,Mus,Mus musculus,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,2,2,NA,NA,NA
3328,2169,13,Apodemus,Apodemus syhaticus,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,27,27,NA,NA,NA
3329,2172,13,Apodemus,Apodemus agrarius,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,8,8,NA,NA,NA
3330,2175,13,Meriones,Meriones meridianus,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,12,12,NA,NA,NA
3331,2177,13,Meriones,Meriones libycus,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,13,13,NA,NA,NA
3332,2178,13,Rhombomys,Rhombomys opimus,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,16,16,NA,NA,NA
3333,2189,13,Microtus,Microtus gregalis,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,44,44,NA,NA,NA
3334,2196,13,Cricetulus,Cricetulus migratorius,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,15,15,NA,NA,NA
3335,2200,13,Dipus,Dipus sagitta,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,6,6,NA,NA,NA
3336,2202,13,Allactaga,Allactaga sibirica,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,5,5,NA,NA,NA
3337,2203,13,Sicista,Sicista concolor,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,2,2,NA,NA,NA
3338,2205,13,Dryomys,Dryomys nitedula,Xinjiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,22,22,NA,NA,NA
3339,2214,13,Rattus,Rattus nitidus,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,16,16,NA,NA,NA
3340,2217,13,Mus,Mus pahari,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,7,7,NA,NA,NA
3341,2218,13,Mus,Mus musculus,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3342,2221,13,Niviventer,Niviventer confucianus,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3343,2227,13,Apodemus,Apodemus agrarius,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,14,14,NA,NA,NA
3344,2229,13,Apodemus,Apodemus chevrieri,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,40,40,NA,NA,NA
3345,2239,13,Eothenomys,Eothenomys melanogaster,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,39,39,NA,NA,NA
3346,2259,13,Chinchilla,Chinchilla lanigera,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,40,40,NA,NA,NA
3347,2265,13,Suncus,Suncus murinus,Guizhou,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,64,64,NA,NA,NA
3348,2266,13,Rattus,Rattus norvegicus,Guangxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,41,41,NA,NA,NA
3349,2267,13,Rattus,Rattus tanezumi,Guangxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,4,4,NA,NA,NA
3350,2272,13,Mus,Mus pahari,Guangxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,7,7,NA,NA,NA
3351,2278,13,Niviventer,Niviventer eha,Guangxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3352,2318,13,Crocidura,Crocidura dracula,Guangxi,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,11,11,NA,NA,NA
3353,2321,13,Rattus,Rattus norvegicus,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,48,48,NA,NA,NA
3354,2322,13,Rattus,Rattus tanezumi,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,21,21,NA,NA,NA
3355,2325,13,Rattus,Rattus losea,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,7,7,NA,NA,NA
3356,2328,13,Mus,Mus musculus,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,3,3,NA,NA,NA
3357,2330,13,Niviventer,Niviventer coninga,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,1,1,NA,NA,NA
3358,2331,13,Niviventer,Niviventer confucianus,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,9,9,NA,NA,NA
3359,2337,13,Apodemus,Apodemus agrarius,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,10,10,NA,NA,NA
3360,2375,13,Suncus,Suncus murinus,Zhejiang,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,71,71,NA,NA,NA
3361,2383,13,Mus,Mus musculus,Shandong,China,state,NA,NA,species,Arenaviridae,RtMc-AreV/YN2014,PCR,5,5,NA,NA,NA
