record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
214,ft_214,NA,Include - Title/Abstract,NA,9CE4BHGM,2007,"Padula, Paula; Martinez, Valeria P.; Bellomo, Carla; Maidana, Silvina; San Juan, Jorge; Tagliaferri, Paulina; Bargardi, Severino; Vazquez, Cynthia; Colucci, Norma; Estévez, Julio; Almiron, María","Pathogenic hantaviruses, northeastern Argentina and eastern Paraguay.",Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid1308.061090,8,13,Emerg Infect Dis,Argentina,eng,NA,Place: United States PMID: 17953094 PMCID: PMC2828069,NA,NA,NA
215,ft_215,NA,Include - Title/Abstract,NA,Q35LXLLI,2007,"Madhav, Nita K.; Wagoner, Kent D.; Douglass, Richard J.; Mills, James N.",Delayed density-dependent prevalence of Sin Nombre virus antibody in Montana deer mice (Peromyscus maniculatus) and implications for human disease risk.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1530-3667,10.1089/vbz.2006.0605,3,7,Vector Borne Zoonotic Dis,USA,eng,NA,Place: United States PMID: 17767405,NA,NA,NA
216,ft_216,NA,Include - Title/Abstract,NA,NU3GX7D7,2007,"Yadav, Pragya D.; Vincent, Martin J.; Nichol, Stuart T.","Thottapalayam virus is genetically distant to the rodent-borne hantaviruses, consistent with its isolation from the Asian house shrew (Suncus murinus).",Virology journal,1743-422X,10.1186/1743-422X-4-80,NA,4,Virol J,India,eng,NA,Place: England PMID: 17711577 PMCID: PMC1997112,NA,NA,NA
217,ft_217,NA,Exclude - Full Text,No data,BUGF7XMY,2007,"Kramer, Karen",[Transmission by feces of infected rodents. Hantavirus illnesses are increasing].,MMW Fortschritte der Medizin,1438-3276,NA,19,149,MMW Fortschr Med,NA,ger,NA,Place: Germany PMID: 17672003,NA,NA,NA
218,ft_218,NA,Include - Title/Abstract,NA,EN98HSKJ,2007,"Lecompte, E.; ter Meulen, J.; Emonet, S.; Daffis, S.; Charrel, R. N.","Genetic identification of Kodoko virus, a novel arenavirus of the African pigmy mouse (Mus Nannomys minutoides) in West Africa.",Virology,0042-6822,10.1016/j.virol.2007.02.008,1,364,Virology,Guinea,eng,NA,Place: United States PMID: 17382366,NA,NA,NA
219,ft_219,NA,Include - Title/Abstract,NA,8GW73JMB,2006,"Qu, Yong-gang; Yang, Guo-qing; Zou, Yang; Yan, Gen-qiang; Chen, Hua-xin; Zhang, Yong-zhen","[Isolation and characterization of Hantavirus carried by rodents in Huludao, Liaoning province].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,0254-6450,NA,6,27,Zhonghua Liu Xing Bing Xue Za Zhi,China,chi,NA,Place: China PMID: 17152513,NA,NA,NA
220,ft_220,NA,Include - Title/Abstract,NA,D9HERRTY,2006,"Hugot, Jean-Pierre; Plyusnina, Angelina; Herbreteau, Vincent; Nemirov, Kirill; Laakkonen, Juha; Lundkvist, Ake; Supputamongkol, Yupin; Henttonen, Heikki; Plyusnin, Alexander",Genetic analysis of Thailand hantavirus in Bandicota indica trapped in Thailand.,Virology journal,1743-422X,10.1186/1743-422X-3-72,NA,3,Virol J,Thailand,eng,NA,Place: England PMID: 16953877 PMCID: PMC1578555,NA,NA,NA
221,ft_221,NA,Include - Title/Abstract,NA,2JQM9JT3,2006,"Alemán, Ader; Iguarán, Haydeé; Puerta, Henry; Cantillo, César; Mills, James; Ariz, William; Mattar, Salim",[First serological evidence of Hantavirus infection in rodents in Colombia].,"Revista de salud publica (Bogota, Colombia)",0124-0064,NA,NA,8 Suppl 1,Rev Salud Publica (Bogota),Colombia,spa,NA,Place: Colombia PMID: 16925117,NA,NA,NA
222,ft_222,y,Include - Title/Abstract,NA,RKE4Q2JY,2005,"McIntyre, Nancy E.; Chu, Yong-Kyu; Owen, Robert D.; Abuzeineh, Alisa; De la Sancha, Noe; Dick, Carl W.; Holsomback, Tyla; Nisbett, Richard A.; Jonsson, Colleen","A longitudinal study of Bayou virus, hosts, and habitat.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.2005.73.1043,6,73,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 16354810,NA,NA,NA
223,ft_223,NA,Include - Title/Abstract,NA,F84DARPQ,2005,"Chow, Ling; Shu, Pei-Yun; Huang, Jyh-Hsiung; Wang, Hsi-Chieh; Chang, Shu-Fen; Lu, Hsiu-Ying; Lin, Ting-Hsiang","A retrospective study of hantavirus infection in Kinmen, Taiwan.","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",1684-1182,NA,5,38,J Microbiol Immunol Infect,Taiwan,eng,NA,Place: England PMID: 16211143,NA,NA,NA
224,ft_224,NA,Include - Title/Abstract,NA,MK9UAXDE,2004,"Abbott, Ken D.; Milazzo, Mary L.; Keith, Josh; Bradley, Robert D.; Fulhorst, Charles F.",Epizootiology of arenaviral infections in the white-throated woodrat (Muridae: Sigmodontinae) and other woodrats in Arizona.,Journal of vector ecology : journal of the Society for Vector Ecology,1081-1710,NA,2,29,J Vector Ecol,NA,eng,NA,Place: United States PMID: 15707295,NA,NA,NA
225,ft_225,NA,Include - Title/Abstract,NA,RIRFH9E7,2004,"Ruedas, Luis A.; Salazar-Bravo, Jorge; Tinnin, David S.; Armién, Blas; Cáceres, Lorenzo; García, Arsenio; Díaz, Mario Avila; Gracia, Fernando; Suzán, Gerardo; Peters, C. J.; Yates, Terry L.; Mills, James N.",Community ecology of small mammal populations in Panamá following an outbreak of Hantavirus pulmonary syndrome.,Journal of vector ecology : journal of the Society for Vector Ecology,1081-1710,NA,1,29,J Vector Ecol,Panama,eng,NA,Place: United States PMID: 15266755,NA,NA,NA
226,ft_226,NA,Include - Title/Abstract,NA,LAN8N7DK,2004,"Nemirov, Kirill; Andersen, Hans K.; Leirs, Herwig; Henttonen, Heikki; Vaheri, Antti; Lundkvist, Ake; Plyusnin, Alexander",Saaremaa hantavirus in Denmark.,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,1386-6532,10.1016/j.jcv.2003.12.009,3,30,J Clin Virol,Denmark,eng,NA,Place: Netherlands PMID: 15135745,NA,NA,NA
227,ft_227,NA,Include - Title/Abstract,NA,MB2KESMA,2003,"Chu, Yong-Kyu; Owen, Robert D.; Gonzalez, Liza M.; Jonsson, Colleen B.",The complex ecology of hantavirus in Paraguay.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.2003.69.263,3,69,Am J Trop Med Hyg,Paraguay,eng,NA,Place: United States PMID: 14628942,NA,NA,NA
228,ft_228,NA,Include - Title/Abstract,NA,YG9MXU65,2003,"Delfraro, Adriana; Clara, Mario; Tomé, Lorena; Achaval, Federico; Levis, Silvana; Calderón, Gladys; Enria, Delia; Lozano, Mario; Russi, José; Arbiza, Juan",Yellow pigmy rice rat (Oligoryzomys flavescens) and hantavirus pulmonary syndrome in Uruguay.,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0907.030044,7,9,Emerg Infect Dis,Uruguay,eng,NA,Place: United States PMID: 12890326 PMCID: PMC3023433,NA,NA,NA
229,ft_229,NA,Include - Title/Abstract,NA,98K6S5NZ,2002,"Sironen, Tarja; Plyusnina, Angelina; Andersen, Hans Kerzel; Lodal, Jens; Leirs, Herwig; Niemimaa, Jukka; Henttonen, Heikkia; Vaheri, Antti; Lundkvist, Ake; Plyusnin, Alexander",Distribution of Puumala hantavirus in Denmark: analysis of bank voles (Clethrionomys glareolus) from Fyn and Jutland.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1530-3667,10.1089/153036602760260760,1,2,Vector Borne Zoonotic Dis,Denmark,eng,NA,Place: United States PMID: 12656129,NA,NA,NA
230,ft_230,NA,Include - Title/Abstract,NA,XFD28HF9,2002,"Sauvage, F.; Penalba, C.; Vuillaume, P.; Boue, F.; Coudrier, D.; Pontier, D.; Artois, M.","Puumala hantavirus infection in humans and in the reservoir host, Ardennes region, France.",Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0812.010518,12,8,Emerg Infect Dis,France,eng,NA,Place: United States PMID: 12498675 PMCID: PMC2738519,NA,NA,NA
231,ft_231,NA,Include - Title/Abstract,NA,NAMWNXJH,2002,"Glass, Gregory E.; Yates, Terry L.; Fine, Joshua B.; Shields, Timothy M.; Kendall, John B.; Hope, Andrew G.; Parmenter, Cheryl A.; Peters, C. J.; Ksiazek, Thomas G.; Li, Chung-Sheng; Patz, Jonathan A.; Mills, James N.",Satellite imagery characterizes local animal reservoir populations of Sin Nombre virus in the southwestern United States.,Proceedings of the National Academy of Sciences of the United States of America,0027-8424 1091-6490,10.1073/pnas.252617999,26,99,Proc Natl Acad Sci U S A,USA,eng,NA,Place: United States PMID: 12473747 PMCID: PMC139227,NA,NA,NA
232,ft_232,NA,Exclude - Full Text,"No data, no rodent data",BS3DEJ33,2002,"Mulić, Rosanda; Ropac, Darko",Epidemiologic characteristics and military implications of hemorrhagic fever with renal syndrome in croatia.,Croatian medical journal,0353-9504,NA,5,43,Croat Med J,NA,eng,NA,Place: Croatia PMID: 12402401,NA,NA,NA
233,ft_233,NA,Include - Title/Abstract,NA,HLATU6J7,2002,"Nitatpattana, Narong; Henrich, Timothy; Palabodeewat, Somnuek; Tangkanakul, Waraluk; Poonsuksombat, Duangporn; Chauvancy, Gilles; Barbazan, Philippe; Yoksan, Sutee; Gonzalez, Jean-Paul",Hantaan virus antibody prevalence in rodent populations of several provinces of northeastern Thailand.,Tropical medicine & international health : TM & IH,1360-2276,10.1046/j.1365-3156.2002.00830.x,10,7,Trop Med Int Health,Thailand,eng,NA,Place: England PMID: 12358618,NA,NA,NA
234,ft_234,NA,Include - Title/Abstract,NA,4CBVN836,2002,"Escutenaire, Sophie; Chalon, Patrice; De Jaegere, Florence; Karelle-Bui, Lucie; Mees, Georges; Brochier, Bernard; Rozenfeld, Francine; Pastoret, Paul-Pierre","Behavioral, physiologic, and habitat influences on the dynamics of Puumala virus infection in bank voles (Clethrionomys glareolus).",Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0809.010537,9,8,Emerg Infect Dis,Belgium,eng,NA,Place: United States PMID: 12194769 PMCID: PMC2732533,NA,NA,NA
235,ft_235,NA,Include - Title/Abstract,NA,ZR9RFCSA,2002,"Fulhorst, Charles F.; Bennett, Stephen G.; Milazzo, Mary L.; Murray, Hugh L. Jr; Webb, James P. Jr; Cajimat, Maria N. B.; Bradley, Robert D.",Bear Canyon virus: an arenavirus naturally associated with the California mouse (Peromyscus californicus).,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0807.010281,7,8,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 12095441 PMCID: PMC2730321,NA,NA,NA
236,ft_236,NA,Include - Title/Abstract,NA,34C9EFJC,2002,"Pacsa, A. S.; Elbishbishi, E. A.; Chaturvedi, U. C.; Chu, K. Y.; Mustafa, A. S.",Hantavirus-specific antibodies in rodents and humans living in Kuwait.,FEMS immunology and medical microbiology,0928-8244,10.1111/j.1574-695X.2002.tb00583.x,2,33,FEMS Immunol Med Microbiol,Kuwait,eng,NA,Place: England PMID: 12052569,NA,NA,NA
237,ft_237,NA,Include - Title/Abstract,NA,3JVMCWGI,2002,"Calisher, Charles H.; Root, J. Jeffery; Mills, James N.; Beaty, Barry J.","Assessment of ecologic and biologic factors leading to hantavirus pulmonary syndrome, Colorado, U.S.A.",Croatian medical journal,0353-9504,NA,3,43,Croat Med J,Croatia,eng,NA,Place: Croatia PMID: 12035141,NA,NA,NA
238,ft_238,NA,Include - Title/Abstract,NA,PBSTWCWN,2000,"Zhang, X.; Zhou, S.; Wang, H.; Hu, J.; Guan, Z.; Liu, H.",[Study on the genetic difference of SEO type Hantaviruses].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,0254-6450,NA,5,21,Zhonghua Liu Xing Bing Xue Za Zhi,China,chi,NA,Place: China PMID: 11860814,NA,NA,NA
239,ft_239,NA,Include - Title/Abstract,NA,BQ83P2LG,2001,"Kuenzi, A. J.; Douglass, R. J.; White, D. Jr; Bond, C. W.; Mills, J. N.",Antibody to sin nombre virus in rodents associated with peridomestic habitats in west central Montana.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.2001.64.137,03-Apr,64,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 11442208,NA,NA,NA
240,ft_240,NA,Include - Title/Abstract,NA,PCKRGCQI,2000,"Bennett, S. G.; Milazzo, M. L.; Webb, J. P. Jr; Fulhorst, C. F.",Arenavirus antibody in rodents indigenous to coastal southern California.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.2000.62.626,5,62,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 11289675,NA,NA,NA
241,ft_241,NA,Include - Title/Abstract,NA,FYLX9Q3G,2001,"Kimmig, P.; Silva-González, R.; Backe, H.; Brockmann, S.; Oehme, R.; Ernst, E.; Mackenstedt, U.",[Epidemiology of hantaviruses in Baden-Wurttemberg].,Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),0941-3790,10.1055/s-2001-10961,2,63,Gesundheitswesen,NA,ger,NA,Place: Germany PMID: 11285748,NA,NA,NA
242,ft_242,NA,Include - Title/Abstract,NA,2UPV57PE,2000,"Nitatpattana, N.; Chauvancy, G.; Dardaine, J.; Poblap, T.; Jumronsawat, K.; Tangkanakul, W.; Poonsuksombat, D.; Yoksan, S.; Gonzalez, J. P.",Serological study of hantavirus in the rodent population of Nakhon Pathom and Nakhon Ratchasima Provinces Thailand.,The Southeast Asian journal of tropical medicine and public health,0125-1562,NA,2,31,Southeast Asian J Trop Med Public Health,Thailand,eng,NA,Place: Thailand PMID: 11127326,NA,NA,NA
243,ft_243,NA,Include - Title/Abstract,NA,Z69L6JQM,1999,"Vapalahti, O.; Lundkvist, A.; Fedorov, V.; Conroy, C. J.; Hirvonen, S.; Plyusnina, A.; Nemirov, K.; Fredga, K.; Cook, J. A.; Niemimaa, J.; Kaikusalo, A.; Henttonen, H.; Vaheri, A.; Plyusnin, A.",Isolation and characterization of a hantavirus from Lemmus sibiricus: evidence for host switch during hantavirus evolution.,Journal of virology,0022-538X 1098-5514,10.1128/JVI.73.7.5586-5592.1999,7,73,J Virol,"Russia, Finland, Sweden, Norway",eng,NA,Place: United States PMID: 10364307 PMCID: PMC112616,NA,NA,NA
244,ft_244,NA,Include - Title/Abstract,NA,8I84JKIT,1999,"Mills, J. N.; Ksiazek, T. G.; Peters, C. J.; Childs, J. E.",Long-term studies of hantavirus reservoir populations in the southwestern United States: a synthesis.,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0501.990116,1,5,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 10081681 PMCID: PMC2627702,NA,NA,NA
245,ft_245,NA,Include - Title/Abstract,NA,9A4EB8PE,1999,"Calisher, C. H.; Sweeney, W.; Mills, J. N.; Beaty, B. J.",Natural history of Sin Nombre virus in western Colorado.,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0501.990115,1,5,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 10081680 PMCID: PMC2627699,NA,NA,NA
246,ft_246,y,Include - Title/Abstract,NA,QGVG6PLY,1999,"Bennett, S. G.; Webb, J. P. Jr; Madon, M. B.; Childs, J. E.; Ksiazek, T. G.; Torrez-Martinez, N.; Hjelle, B.","Hantavirus (Bunyaviridae) infections in rodents from Orange and San Diego counties, California.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1999.60.75,1,60,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 9988327,NA,NA,NA
247,ft_247,NA,Include - Title/Abstract,NA,AJFU68GS,1999,"Gavrilovskaya, I.; LaMonica, R.; Fay, M. E.; Hjelle, B.; Schmaljohn, C.; Shaw, R.; Mackow, E. R.",New York 1 and Sin Nombre viruses are serotypically distinct viruses associated with hantavirus pulmonary syndrome.,Journal of clinical microbiology,0095-1137 1098-660X,10.1128/JCM.37.1.122-126.1999,1,37,J Clin Microbiol,USA,eng,NA,Place: United States PMID: 9854075 PMCID: PMC84184,NA,NA,NA
248,ft_248,NA,Include - Title/Abstract,NA,NEZGNH8V,1998,"Boone, J. D.; Otteson, E. W.; McGwire, K. C.; Villard, P.; Rowe, J. E.; St Jeor, S. C.",Ecology and demographics of hantavirus infections in rodent populations in the Walker River Basin of Nevada and California.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1998.59.445,3,59,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 9749642,NA,NA,NA
249,ft_249,NA,Include - Title/Abstract,NA,BNVPJ7WX,1998,"Mills, J. N.; Johnson, J. M.; Ksiazek, T. G.; Ellis, B. A.; Rollin, P. E.; Yates, T. L.; Mann, M. O.; Johnson, M. R.; Campbell, M. L.; Miyashiro, J.; Patrick, M.; Zyzak, M.; Lavender, D.; Novak, M. G.; Schmidt, K.; Peters, C. J.; Childs, J. E.",A survey of hantavirus antibody in small-mammal populations in selected United States National Parks.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1998.58.525,4,58,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 9574803,NA,NA,NA
250,ft_250,NA,Include - Title/Abstract,NA,LTFE6DQU,1998,"Torrez-Martinez, N.; Bharadwaj, M.; Goade, D.; Delury, J.; Moran, P.; Hicks, B.; Nix, B.; Davis, J. L.; Hjelle, B.","Bayou virus-associated hantavirus pulmonary syndrome in Eastern Texas: identification of the rice rat, Oryzomys palustris, as reservoir host.",Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0401.980115,1,4,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 9452404 PMCID: PMC2627679,NA,NA,NA
251,ft_251,NA,Include - Title/Abstract,NA,7IWY2UFU,1997,"Bharadwaj, M.; Botten, J.; Torrez-Martinez, N.; Hjelle, B.","Rio Mamore virus: genetic characterization of a newly recognized hantavirus of the pygmy rice rat, Oligoryzomys microtis, from Bolivia.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1997.57.368,3,57,Am J Trop Med Hyg,Bolivia,eng,NA,Place: United States PMID: 9311652,NA,NA,NA
252,ft_252,NA,Include - Title/Abstract,NA,6B4ZEE6P,1996,"Baddour, M. M.; Mourad, A. S.; Awwad, A. M.; Murphy, J. R.",Hantaan virus infection among human and rat populations in Alexandria.,The Journal of the Egyptian Public Health Association,0013-2446,NA,03-Apr,71,J Egypt Public Health Assoc,NA,eng,NA,Place: United States PMID: 17217009,NA,NA,NA
253,ft_253,NA,Include - Title/Abstract,NA,6W7GC9Q4,1995,"Song, W.; Torrez-Martinez, N.; Irwin, W.; Harrison, F. J.; Davis, R.; Ascher, M.; Jay, M.; Hjelle, B.",Isla Vista virus: a genetically novel hantavirus of the California vole Microtus californicus.,The Journal of general virology,0022-1317,10.1099/0022-1317-76-12-3195,NA,76 ( Pt 12),J Gen Virol,USA,eng,NA,Place: England PMID: 8847529,NA,NA,NA
254,ft_254,NA,Include - Title/Abstract,NA,WVWFG97A,1995,"Childs, J. E.; Krebs, J. W.; Ksiazek, T. G.; Maupin, G. O.; Gage, K. L.; Rollin, P. E.; Zeitz, P. S.; Sarisky, J.; Enscore, R. E.; Butler, J. C.","A household-based, case-control study of environmental factors associated with hantavirus pulmonary syndrome in the southwestern United States.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1995.52.393,5,52,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 7771603,NA,NA,NA
255,ft_255,NA,Include - Title/Abstract,NA,FBZ6GJKV,1995,"Turell, M. J.; Korch, G. W.; Rossi, C. A.; Sesline, D.; Enge, B. A.; Dondero, D. V.; Jay, M.; Ludwig, G. V.; Li, D.; Schmaljohn, C. S.",Short report: prevalence of hantavirus infection in rodents associated with two fatal human infections in California.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1995.52.180,2,52,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 7872450,NA,NA,NA
256,ft_256,NA,Include - Title/Abstract,NA,J7HFRK64,1995,"Schmaljohn, A. L.; Li, D.; Negley, D. L.; Bressler, D. S.; Turell, M. J.; Korch, G. W.; Ascher, M. S.; Schmaljohn, C. S.",Isolation and initial characterization of a newfound hantavirus from California.,Virology,0042-6822,10.1006/viro.1995.1019,2,206,Virology,USA,eng,NA,Place: United States PMID: 7856107,NA,NA,NA
257,ft_257,NA,Include - Title/Abstract,NA,AEUXAB8I,1994,"Elliott, L. H.; Ksiazek, T. G.; Rollin, P. E.; Spiropoulou, C. F.; Morzunov, S.; Monroe, M.; Goldsmith, C. S.; Humphrey, C. D.; Zaki, S. R.; Krebs, J. W.",Isolation of the causative agent of hantavirus pulmonary syndrome.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1994.51.102,1,51,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 8059907,NA,NA,NA
258,ft_258,NA,Include - Title/Abstract,NA,28BI6PK2,1993,"Rodier, G.; Soliman, A. K.; Bouloumié, J.; Kremer, D.",Presence of antibodies to Hantavirus in rat and human populations of Djibouti.,Transactions of the Royal Society of Tropical Medicine and Hygiene,0035-9203,10.1016/0035-9203(93)90469-7,2,87,Trans R Soc Trop Med Hyg,Djibouti,eng,NA,Place: England PMID: 8101667,NA,NA,NA
259,ft_259,NA,Include - Title/Abstract,NA,SYBS93HC,1992,"Mills, J. N.; Ellis, B. A.; McKee, K. T. Jr; Calderon, G. E.; Maiztegui, J. I.; Nelson, G. O.; Ksiazek, T. G.; Peters, C. J.; Childs, J. E.",A longitudinal study of Junin virus activity in the rodent reservoir of Argentine hemorrhagic fever.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1992.47.749,6,47,Am J Trop Med Hyg,Argentina,eng,NA,Place: United States PMID: 1335214,NA,NA,NA
260,ft_260,NA,Include - Title/Abstract,NA,NB2CN2KZ,1992,"Gligic, A.; Stojanovic, R.; Obradovic, M.; Hlaca, D.; Dimkovic, N.; Diglisic, G.; Lukac, V.; Ler, Z.; Bogdanovic, R.; Antonijevic, B.",Hemorrhagic fever with renal syndrome in Yugoslavia: epidemiologic and epizootiologic features of a nationwide outbreak in 1989.,European journal of epidemiology,0393-2990,10.1007/BF00145326,6,8,Eur J Epidemiol,"Serbia, Slovenia, Croatia, Bosnia",eng,NA,Place: Netherlands PMID: 1363468,NA,NA,NA
261,ft_261,NA,Include - Title/Abstract,NA,F5TL8VXW,1992,"Avsic-Zupanc, T.; Xiao, S. Y.; Stojanovic, R.; Gligic, A.; van der Groen, G.; LeDuc, J. W.","Characterization of Dobrava virus: a Hantavirus from Slovenia, Yugoslavia.",Journal of medical virology,0146-6615,10.1002/jmv.1890380211,2,38,J Med Virol,Slovenia,eng,NA,Place: United States PMID: 1360999,NA,NA,NA
262,ft_262,NA,Include - Title/Abstract,NA,BVL72HWR,1991,"Borcić, B.; Turković, B.; Aleraj, B.; Tvrtković, N.",[Hemorrhagic fever with renal syndrome in Croatia: incidence of infection in human and wild animal reservoirs].,Lijecnicki vjesnik,0024-3477,NA,09-Oct,113,Lijec Vjesn,NA,hrv,NA,Place: Croatia PMID: 1688294,NA,NA,NA
263,ft_263,NA,Include - Title/Abstract,NA,UYGGK6MH,1990,"Weissenbacher, M. C.; Merani, M. S.; Hodara, V. L.; de Villafañe, G.; Gajdusek, D. C.; Chu, Y. K.; Lee, H. W.",Hantavirus infection in laboratory and wild rodents in Argentina.,Medicina,0025-7680,https://books.google.com/books?id=duEL8D5yOccC&lpg=PP1&pg=PA43#v=twopage&q&f=true,1,50,Medicina (B Aires),NA,eng,NA,Place: Argentina PMID: 1981381,NA,NA,NA
264,ft_264,NA,Include - Title/Abstract,NA,UUDA9RDC,1989,"Childs, J. E.; Glass, G. E.; Korch, G. W.; LeDuc, J. W.","Effects of hantaviral infection on survival, growth and fertility in wild rat (Rattus norvegicus) populations of Baltimore, Maryland.",Journal of wildlife diseases,0090-3558,10.7589/0090-3558-25.4.469,4,25,J Wildl Dis,USA,eng,NA,Place: United States PMID: 2572705,NA,NA,NA
265,ft_265,NA,Include - Title/Abstract,NA,YSKLKUJZ,1989,"Wong, T. W.; Chan, Y. C.; Joo, Y. G.; Lee, H. W.; Lee, P. W.; Yanagihara, R.",Hantavirus infections in humans and commensal rodents in Singapore.,Transactions of the Royal Society of Tropical Medicine and Hygiene,0035-9203,10.1016/0035-9203(89)90666-4,2,83,Trans R Soc Trop Med Hyg,Singapore,eng,NA,Place: England PMID: 2575293,NA,NA,NA
266,ft_266,NA,Include - Title/Abstract,NA,85DALGY7,1989,"Wang, Z. X.",[Preliminary study on epidemic hemorrhagic fever (EHF) in Guizhou Province].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,0254-6450,NA,1,10,Zhonghua Liu Xing Bing Xue Za Zhi,NA,chi,NA,Place: China PMID: 2567626,NA,NA,NA
267,ft_267,NA,Include - Title/Abstract,NA,4XF2QSQJ,1988,"Saluzzo, J. F.; Adam, F.; McCormick, J. B.; Digoutte, J. P.",Lassa fever virus in Senegal.,The Journal of infectious diseases,0022-1899,10.1093/infdis/157.3.605,3,157,J Infect Dis,Senegal,eng,NA,Place: United States PMID: 3343533,NA,NA,NA
268,ft_268,NA,Include - Title/Abstract,NA,UA5WKW55,1985,"Elwell, M. R.; Ward, G. S.; Tingpalapong, M.; LeDuc, J. W.",Serologic evidence of Hantaan-like virus in rodents and man in Thailand.,The Southeast Asian journal of tropical medicine and public health,0125-1562,NA,3,16,Southeast Asian J Trop Med Public Health,Thailand,eng,NA,Place: Thailand PMID: 3938073,NA,NA,NA
269,ft_269,NA,Include - Title/Abstract,NA,G26H5TH2,1981,"Johnson, K. M.; Taylor, P.; Elliott, L. H.; Tomori, O.",Recovery of a Lassa-related arenavirus in Zimbabwe.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1981.30.1291,6,30,Am J Trop Med Hyg,Zimbabwe,eng,NA,Place: United States PMID: 7034562,NA,NA,NA
270,ft_270,NA,Include - Title/Abstract,NA,TP94IPRT,2015,"Maroli, Malena; Vadell, María Victoria; Iglesias, Ayelén; Padula, Paula Julieta; Gómez Villafañe, Isabel Elisa",Daily Movements and Microhabitat Selection of Hantavirus Reservoirs and Other Sigmodontinae Rodent Species that Inhabit a Protected Natural Area of Argentina.,EcoHealth,1612-9210 1612-9202,10.1007/s10393-015-1038-z,3,12,Ecohealth,Argentina,eng,NA,Place: United States PMID: 26063039,NA,NA,NA
271,ft_271,NA,Include - Title/Abstract,NA,L3XBEWXJ,2015,"Yashina, Liudmila N.; Abramov, Sergey A.; Dupal, Tamara A.; Danchinova, Galina A.; Malyshev, Boris S.; Hay, John; Gu, Se Hun; Yanagihara, Richard",Hokkaido genotype of Puumala virus in the grey red-backed vole (Myodes rufocanus) and northern red-backed vole (Myodes rutilus) in Siberia.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2015.05.021,NA,33,Infect Genet Evol,Russia,eng,Copyright © 2015 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 26003760 PMCID: PMC4871597,NA,NA,NA
